,year,maxtemp,averagetemp,minimumtemp,state
105,2000,29.199,16.362583333333337,-0.088,AR
106,2000,23.915,15.019333333333334,7.667000000000001,CA
107,2000,21.021,8.204833333333333,-3.935,CO
108,2000,20.385,9.581,-3.029,CT
109,2000,22.817,12.347583333333334,-0.3339999999999996,DE
110,2000,22.808000000000003,12.277750000000003,-2.057,DC
111,2000,28.1,21.951999999999998,14.529000000000002,FL
112,2000,27.622,17.92066666666667,5.257999999999999,GA
113,2000,24.801,22.941500000000005,20.747,HI
114,2000,19.002,6.239000000000001,-5.141,ID
115,2000,24.232,11.582916666666668,-7.593,IL
116,2000,23.04,11.415916666666668,-6.72,IN
117,2000,23.491,9.809666666666669,-11.615,IA
118,2000,28.716,13.343583333333335,-4.235,KS
119,2000,24.329,13.479500000000002,-2.8760000000000003,KY
